"subject2","object1"
"http://www.wikidata.org/entity/Q7643337","\"Superficial veins of the brain\"@en"
"http://www.wikidata.org/entity/Q6029274","\"Inferior anastomotic vein\"@en"
"http://www.wikidata.org/entity/Q5797584","\"Superior anastomotic vein\"@en"
"http://www.wikidata.org/entity/Q2512709","\"Perforator vein\"@en"
"http://www.wikidata.org/entity/Q17081096","\"Eye vein verification\"@en"
"http://www.wikidata.org/entity/Q5422044","\"External pudendal vein\"@en"
"http://www.wikidata.org/entity/Q1729105","\"Anterior cardinal vein\"@en"
"http://www.wikidata.org/entity/Q5997969","\"Iliac vein\"@en"
"http://www.wikidata.org/entity/Q751322","\"superior mesenteric vein\"@en"
"http://www.wikidata.org/entity/Q1165173","\"uterine veins\"@en"
"http://www.wikidata.org/entity/Q5154075","\"Communicating vein\"@en"
"http://www.wikidata.org/entity/Q4771354","\"anterior intercostal veins\"@en"
"http://www.wikidata.org/entity/Q749592","\"jugular vein\"@en"
"http://www.wikidata.org/entity/Q2512768","\"external jugular vein\"@en"
"http://www.wikidata.org/entity/Q540598","\"internal jugular vein\"@en"
"http://www.wikidata.org/entity/Q585624","\"testicular vein\"@en"
"http://www.wikidata.org/entity/Q1578686","\"hepatic vein\"@en"
"http://www.wikidata.org/entity/Q6641978","\"Profunda femoris vein\"@en"
